Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	2.9677603	0.0	2.9677603	2.9677603	25.0	25	0.1303958	0.19584374	0.801003	-0.4932894	-0.21405664	0.023462772	21.250604152679443
2	1.5382875	0.0	1.5382875	1.5382875	25.0	50	0.1247968	0.15590829	0.7358244	-0.91915315	-1.5355706	0.014025301	41.062910079956055
3	4.354181	0.0	4.354181	4.354181	25.0	75	0.23896512	0.17599738	1.3658969	-0.33537516	-4.433918	0.011834444	60.679954051971436
4	3.3804278	0.0	3.3804278	3.3804278	25.0	100	0.4727518	0.2147556	1.7578108	-0.34500128	-5.888277	0.010860031	80.24209713935852
5	0.8878861	0.0	0.8878861	0.8878861	25.0	125	0.8932059	0.8466279	6.3545203	-0.84832543	-1.259264	0.73202026	100.02715110778809
6	0.26397595	0.0	0.26397595	0.26397595	25.0	150	1.1057856	0.25943488	2.7185216	0.4636409	-1.3394251	0.020249782	119.64554047584534
7	0.1943871	0.0	0.1943871	0.1943871	25.0	175	1.2238016	0.2280678	2.8557484	0.88816476	-1.5176764	0.008346224	139.2531714439392
8	0.5692157	0.0	0.5692157	0.5692157	25.0	200	1.1948805	0.20839408	2.5946329	0.8162964	-1.5211965	0.010821205	158.80077266693115
9	0.49873456	0.0	0.49873456	0.49873456	25.0	225	1.2148896	0.18748249	2.4761214	0.9316547	-1.4079843	0.009004381	178.41957211494446
10	0.58878684	0.0	0.58878684	0.58878684	25.0	250	1.2341179	0.1673826	2.3904881	0.95744157	-1.4756256	0.008017506	198.23439145088196
11	0.31911582	0.0	0.31911582	0.31911582	25.0	275	1.2156231	0.14157821	2.2796996	1.003045	-1.3990685	0.004962159	218.0859260559082
12	0.079112254	0.0	0.079112254	0.079112254	25.0	300	1.2740452	0.1376287	2.2936623	1.090127	-1.6176354	0.0046883505	237.59830117225647
13	0.9017832	0.0	0.9017832	0.9017832	25.0	325	1.350643	0.13988093	2.3146193	1.0772394	-1.5485231	0.0065785903	257.1041398048401
14	0.26792064	0.0	0.26792064	0.26792064	25.0	350	1.4196036	0.13710701	2.3582451	1.2259513	-1.7777454	0.0051121973	276.8552439212799
15	0.9880307	0.0	0.9880307	0.9880307	25.0	375	1.512997	0.1445166	2.41612	1.1920724	-1.7889159	0.011280541	296.514447927475
16	0.011157759	0.0	0.011157759	0.011157759	25.0	400	1.6113244	0.11277924	2.4548428	1.3938062	-1.8000869	0.006113238	316.13824248313904
17	0.063067526	0.0	0.063067526	0.063067526	25.0	425	1.7282797	0.10904404	2.6312878	1.5259457	-1.9552251	0.0039765467	335.8788626194
18	0.4500358	0.0	0.4500358	0.4500358	25.0	450	1.8325205	0.10199797	2.6707745	1.6090156	-2.0804856	0.004450126	355.5579433441162
19	0.92349285	0.0	0.92349285	0.92349285	25.0	475	1.9358525	0.09618048	2.7775505	1.7363911	-2.2590332	0.0043477206	375.1121048927307
20	0.14512435	0.0	0.14512435	0.14512435	25.0	500	2.027397	0.114878066	2.8177013	1.7937686	-2.3268414	0.007661045	395.11185026168823
21	0.3215318	0.0	0.3215318	0.3215318	25.0	525	2.1213927	0.102545656	3.010846	1.919226	-2.3799562	0.0045700846	414.7390208244324
22	0.23261607	0.0	0.23261607	0.23261607	25.0	550	2.2168708	0.09602144	3.0775323	2.0386548	-2.4050157	0.0038090583	434.40487909317017
23	0.71364295	0.0	0.71364295	0.71364295	25.0	575	2.2986426	0.10344693	3.1475215	2.1232784	-2.5283608	0.0039494275	454.1438546180725
24	0.33196083	0.0	0.33196083	0.33196083	25.0	600	2.3655562	0.086600155	3.2281375	2.2057748	-2.5883927	0.0033450865	474.0376319885254
25	0.0891886	0.0	0.0891886	0.0891886	25.0	625	2.4259756	0.07553205	3.260302	2.2628157	-2.7282465	0.004095807	493.5973355770111
26	1.0367832	0.0	1.0367832	1.0367832	25.0	650	2.4632473	0.089159325	3.3221784	2.3271203	-2.6848867	0.004221929	513.1452460289001
27	0.32491398	0.0	0.32491398	0.32491398	25.0	675	2.5069458	0.08130896	3.380317	2.3758519	-2.688968	0.0034207657	532.7543523311615
28	0.40776765	0.0	0.40776765	0.40776765	25.0	700	2.5620966	0.08487544	3.3887722	2.3911219	-2.7489743	0.003431593	552.1174499988556
29	0.7424187	0.0	0.7424187	0.7424187	25.0	725	2.6165872	0.07531847	3.4264655	2.4711204	-2.8044698	0.0036231645	571.487384557724
