Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	6.3183436	0.0	6.3183436	6.3183436	25.0	25	0.18352488	0.18854843	0.6943298	-0.40906554	-0.14865758	0.07850601	19.67396330833435
2	5.9951286	0.0	5.9951286	5.9951286	25.0	50	0.2545521	0.21129145	0.84149826	-0.14601593	-0.37800828	0.03519887	37.959234952926636
3	8.194329	0.0	8.194329	8.194329	25.0	75	0.30267325	0.19542007	0.9626182	-0.25716165	-0.67735535	0.03482625	56.270346879959106
4	5.440446	0.0	5.440446	5.440446	25.0	100	0.327889	0.19315527	1.0570538	0.0273075	-0.8381661	0.022535317	74.50856900215149
5	9.28864	0.0	9.28864	9.28864	25.0	125	0.40028122	0.22951393	1.2231984	-0.11206171	-0.525106	0.039090324	92.80422949790955
6	4.953126	0.0	4.953126	4.953126	25.0	150	0.45304263	0.20312601	1.3213681	0.085403204	-0.4780935	0.039186105	111.11241817474365
7	2.9537516	0.0	2.9537516	2.9537516	25.0	175	0.5039264	0.21131736	1.4188347	0.12860228	-0.48026788	0.04187926	129.28321933746338
8	7.486265	0.0	7.486265	7.486265	25.0	200	0.5770996	0.21768582	1.5331501	0.19305918	-0.7021019	0.04145861	147.51492977142334
9	4.490649	0.0	4.490649	4.490649	25.0	225	0.64270806	0.22659269	1.6408904	0.23201683	-0.5719978	0.04922123	165.79956603050232
10	6.702656	0.0	6.702656	6.702656	25.0	250	0.7174523	0.21779254	1.7190899	0.34321707	-0.7185906	0.0516195	184.31685638427734
11	10.567998	0.0	10.567998	10.567998	25.0	275	0.79491633	0.20868203	1.7665939	0.4151054	-0.8926293	0.052654374	202.58951449394226
12	10.241402	0.0	10.241402	10.241402	25.0	300	0.86257833	0.2206249	1.8197185	0.47149616	-1.1806561	0.05427684	220.98539400100708
13	9.835493	0.0	9.835493	9.835493	25.0	325	0.9130377	0.22334448	1.8205222	0.49947616	-1.0815524	0.05018532	239.28344821929932
14	8.282466	0.0	8.282466	8.282466	25.0	350	0.9677141	0.21943079	1.8232466	0.5305728	-1.0657564	0.05503202	257.54443764686584
15	8.338048	0.0	8.338048	8.338048	25.0	375	0.9854705	0.22175658	1.8354521	0.5574998	-1.1071628	0.052528802	275.79966855049133
16	4.502986	0.0	4.502986	4.502986	25.0	400	1.0112826	0.21206374	1.8637803	0.6007937	-0.9803392	0.05289432	294.09643626213074
17	2.6906533	0.0	2.6906533	2.6906533	25.0	425	1.0200453	0.21088521	1.8612176	0.6374372	-0.94519836	0.04669704	312.3221788406372
18	5.4923415	0.0	5.4923415	5.4923415	25.0	450	1.0390948	0.21240881	1.9072336	0.6267608	-1.1775006	0.0494358	330.5492775440216
19	3.303873	0.0	3.303873	3.303873	25.0	475	1.0489559	0.2251496	2.015325	0.5043862	-1.163527	0.059513964	348.8518557548523
20	5.921731	0.0	5.921731	5.921731	25.0	500	1.0703074	0.22358945	2.0468616	0.5930202	-1.3001059	0.06129589	367.39336252212524
21	2.6752298	0.0	2.6752298	2.6752298	25.0	525	1.0876104	0.2327966	2.1099005	0.40203074	-1.0971923	0.067668095	385.59290885925293
22	1.1588222	0.0	1.1588222	1.1588222	25.0	550	1.1235296	0.23062563	2.146938	0.5319938	-1.452454	0.05863184	403.80257844924927
23	0.55371034	0.0	0.55371034	0.55371034	25.0	575	1.1820225	0.24571332	2.3310108	0.5569362	-1.2121435	0.0655616	421.9951333999634
24	0.62768126	0.0	0.62768126	0.62768126	25.0	600	1.2812395	0.24452241	2.358559	0.7163083	-1.1436638	0.05613022	440.1762912273407
25	4.586164	0.0	4.586164	4.586164	25.0	625	1.380525	0.23871484	2.5043845	0.87543786	-1.2861155	0.05950924	458.3756079673767
26	4.563078	0.0	4.563078	4.563078	25.0	650	1.4566952	0.24444704	2.630426	0.9726998	-1.8185762	0.062137395	476.55501413345337
27	1.5778371	0.0	1.5778371	1.5778371	25.0	675	1.5059388	0.24672759	2.7765913	0.8591315	-1.520079	0.064484335	494.7788336277008
28	9.293002	0.0	9.293002	9.293002	25.0	700	1.602881	0.24584453	2.789864	1.0366148	-2.2060676	0.06066047	513.0646283626556
29	9.020521	0.0	9.020521	9.020521	25.0	725	1.6564106	0.250727	2.8755448	1.0501742	-1.8784546	0.063612565	531.3420281410217
30	9.356906	0.0	9.356906	9.356906	25.0	750	1.6960149	0.2399166	2.8901687	1.1918045	-1.8712174	0.06233943	549.9344856739044
31	6.88563	0.0	6.88563	6.88563	25.0	775	1.7287726	0.24051426	2.902234	1.2348819	-1.8718626	0.063536294	568.2216126918793
32	12.1881	0.0	12.1881	12.1881	25.0	800	1.8103595	0.25567788	2.9848375	1.2813754	-1.9839466	0.06436622	586.6463921070099
33	10.193867	0.0	10.193867	10.193867	25.0	825	1.9432477	0.26276827	3.369891	1.3388946	-3.055592	0.06940615	604.9168903827667
34	3.7804046	0.0	3.7804046	3.7804046	25.0	850	2.0994053	0.28464794	3.5070808	1.3070462	-2.824621	0.088688545	623.2111146450043
35	1.4259633	0.0	1.4259633	1.4259633	25.0	875	2.2264516	0.27719644	3.5703518	1.5096568	-2.586994	0.09123152	641.4062321186066
