Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	25.92218	0.0	25.92218	25.92218	25.0	-0.041112393	0.12687567	0.20880568	-0.23651111	25	-1.14440915e-07	321.32968	-0.13687378	-11.265045	10.558039	-0.021503372	0.52	4.0	20.089340448379517
1	40.738388	0.0	40.738388	40.738388	25.0	0.16648224	0.123293556	0.3740074	-0.038239963	50	-1.3828277e-07	420.72403	-0.09037221	-12.799652	10.327414	-0.027815914	0.12	4.0	39.28643441200256
2	34.63966	0.0	34.63966	34.63966	25.0	0.5122646	0.10676268	0.7572132	0.31667447	75	1.335144e-07	363.38635	-0.08346521	-12.531555	9.8709135	0.010396786	0.12	4.0	58.54038953781128
3	34.683094	0.0	34.683094	34.683094	25.0	0.7520284	0.24303688	1.0437311	0.2661009	100	-1.8119812e-07	364.40274	-0.056227457	-14.927124	10.6428175	-0.041208494	0.2	4.0	77.76946926116943
4	30.6365	0.0	30.6365	30.6365	25.0	1.0303359	0.14939453	1.3685052	0.67553157	125	-2.479553e-07	250.63324	-0.05529391	-11.704926	9.84743	-0.022972908	0.04	4.0	96.97280979156494
5	43.007576	0.0	43.007576	43.007576	25.0	1.6034932	0.44607672	2.4436963	0.84373593	150	-1.2874604e-07	629.65216	-0.05728248	-25.887573	9.52283	-0.0005673218	0.08	4.0	116.08047366142273
6	28.671701	0.0	28.671701	28.671701	25.0	1.6794374	0.507859	2.4806921	0.82918155	175	5.2452087e-08	162.85367	-0.07304768	-10.3576355	9.032033	-0.030472584	0.16	4.0	136.49983310699463
7	32.523277	0.0	32.523277	32.523277	25.0	2.0848403	0.48678657	2.9605334	1.1457243	200	3.8146972e-08	374.47903	-0.0792009	-19.028473	10.450876	0.013385525	0.08	4.0	155.91296672821045
8	36.929325	0.0	36.929325	36.929325	25.0	2.346757	0.57082796	3.843527	1.5213032	225	-3.8146972e-08	375.5339	-0.08361594	-24.75122	10.317862	-0.007948455	0.2	4.0	175.36281943321228
9	37.023273	0.0	37.023273	37.023273	25.0	2.8942416	0.8800944	4.9514003	1.5750103	250	-1.9073487e-07	342.1232	-0.11027395	-27.292877	10.924225	-0.040403977	0.36	4.0	194.93196082115173
