Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
29	40.179775	0.0	40.179775	40.179775	25.0	18.769564	0.3555907	19.247074	17.952362	750	-1.2397766e-07	270.7773	-0.076118104	-12.360138	10.092582	0.00746809	0.2	4.0	591.9182710647583
30	38.065903	0.0	38.065903	38.065903	25.0	18.884052	0.5373122	19.616049	17.90349	775	-4.7683715e-09	300.8826	-0.06273191	-12.964783	10.941233	0.020575771	0.2	4.0	611.5570883750916
31	48.49116	0.0	48.49116	48.49116	25.0	19.502562	0.5106747	19.954468	18.291998	800	9.059906e-08	504.5	-0.044135302	-17.539795	9.856396	0.0073322677	0.04	4.0	631.2141201496124
32	49.590664	0.0	49.590664	49.590664	25.0	20.202421	0.14020292	20.423779	19.962364	825	1.3828277e-07	619.9561	-0.056575425	-21.058533	10.770415	-0.0044485093	0.2	4.0	650.8651704788208
33	47.55319	0.0	47.55319	47.55319	25.0	20.637863	0.29805353	20.907612	19.777275	850	-1.335144e-07	403.02243	-0.08520718	-15.791687	9.990344	-0.0034528542	0.4	4.0	670.6208846569061
34	44.728306	0.0	44.728306	44.728306	25.0	21.198349	0.108539805	21.349922	20.837257	875	7.6293944e-08	429.8592	-0.029876957	-16.553436	9.458767	0.038950846	0.04	2.0	690.2686424255371
35	41.355305	0.0	41.355305	41.355305	25.0	21.537748	0.32592338	21.829721	20.52024	900	-4.7683717e-08	430.85614	-0.05295292	-16.438873	10.329302	-0.019726295	0.24	4.0	709.8955597877502
36	34.748634	0.0	34.748634	34.748634	25.0	21.940676	0.31270054	22.221556	20.724134	925	-1.1920929e-07	248.6681	-0.038686126	-11.3284	9.652028	0.009501934	0.08	4.0	729.5755553245544
37	34.70893	0.0	34.70893	34.70893	25.0	22.38633	0.20337886	22.609804	21.547316	950	1.3828277e-07	255.565	-0.06857235	-11.074478	10.980778	0.030449314	0.32	4.0	749.1953327655792
38	39.477654	0.0	39.477654	39.477654	25.0	22.674545	0.5029616	23.041712	20.698612	975	0.0	381.49454	-0.04826375	-14.443024	10.456193	0.007332878	0.16	4.0	768.826699256897
39	38.84396	0.0	38.84396	38.84396	25.0	23.15477	0.19704035	23.435816	22.783674	1000	-6.67572e-08	241.72333	-0.08092963	-9.788055	10.261266	-0.066439606	0.32	4.0	788.4511587619781
40	43.24252	0.0	43.24252	43.24252	25.0	23.654823	0.1412401	23.806694	23.236364	1025	6.67572e-08	428.8771	-0.07192377	-14.115143	9.973755	-0.017896729	0.2	4.0	808.646312713623
41	37.60883	0.0	37.60883	37.60883	25.0	23.902386	0.27164888	24.156118	22.91309	1050	2.8610229e-08	338.28506	-0.044789746	-13.257629	10.4364	0.010544701	0.08	4.0	828.7536761760712
42	45.78356	0.0	45.78356	45.78356	25.0	24.416449	0.23040985	24.552786	23.48816	1075	-5.2452087e-08	400.42337	-0.07901951	-13.664978	10.072786	-0.02868862	0.04	4.0	848.4188976287842
43	39.526775	0.0	39.526775	39.526775	25.0	24.778976	0.17204173	24.936832	24.098375	1100	-2.813339e-07	318.11386	-0.06219936	-11.80365	10.374133	0.026116218	0.08	3.0	868.1105010509491
44	35.586834	0.0	35.586834	35.586834	25.0	25.099218	0.22187199	25.360653	24.454662	1125	-9.059906e-08	223.44977	-0.08113818	-9.53389	10.101282	-0.06448583	0.24	4.0	887.7805283069611
45	45.445435	0.0	45.445435	45.445435	25.0	25.614082	0.076112896	25.717026	25.458675	1150	-2.8610229e-08	407.2918	-0.067287445	-12.772675	9.781697	-0.03274027	0.36	4.0	907.4401824474335
46	36.950867	0.0	36.950867	36.950867	25.0	25.870472	0.15127754	26.060534	25.53701	1175	3.8146972e-08	273.4001	-0.024400314	-10.605713	10.049021	0.024306888	0.16	4.0	927.1800675392151
47	53.765915	0.0	53.765915	53.765915	25.0	26.382925	0.08557395	26.44665	26.03654	1200	-8.583069e-08	752.32275	-0.11731482	-20.200012	10.057769	-0.013427487	0.48	4.0	946.9244239330292
48	37.482914	0.0	37.482914	37.482914	25.0	26.61072	0.23145615	26.834774	25.69236	1225	4.7683715e-09	221.81796	-0.05411353	-9.9257965	9.855029	0.019319057	0.08	4.0	966.6678686141968
49	44.623997	0.0	44.623997	44.623997	25.0	26.75775	0.4688844	27.204128	25.422832	1250	-1.001358e-07	422.87677	-0.065807626	-13.6475525	10.522261	-0.01672594	0.2	4.0	986.4064180850983
50	42.6701	0.0	42.6701	42.6701	25.0	27.36827	0.35235205	27.614128	26.279026	1275	1.2397766e-07	455.0872	-0.0821149	-16.15976	9.493086	-0.011775131	0.12	4.0	1006.1120557785034
51	33.47821	0.0	33.47821	33.47821	25.0	27.514772	0.51200736	28.011322	25.748297	1300	2.002716e-07	185.33917	-0.061246626	-10.109985	10.710781	0.030011978	0.08	2.0	1025.775976896286
52	45.544273	0.0	45.544273	45.544273	25.0	28.317009	0.059916146	28.381657	28.187292	1325	-1.4305115e-07	458.60858	-0.080284625	-14.277069	10.940625	0.006205559	0.24	4.0	1045.4646837711334
53	39.634445	0.0	39.634445	39.634445	25.0	28.636826	0.11067628	28.752563	28.361485	1350	-5.2452087e-08	270.19046	-0.05841549	-10.413361	10.427605	-0.0101383785	0.08	4.0	1065.1464745998383
54	34.90223	0.0	34.90223	34.90223	25.0	29.00103	0.10621779	29.099047	28.590622	1375	5.2452087e-08	194.48912	-0.03565249	-8.308945	10.236372	0.013406697	0.16	4.0	1084.853529214859
55	34.08954	0.0	34.08954	34.08954	25.0	29.336966	0.093409054	29.44767	29.037298	1400	1.14440915e-07	243.90247	-0.054613184	-9.242294	10.594743	0.0313196	0.04	2.0	1104.4775390625
56	42.774147	0.0	42.774147	42.774147	25.0	29.70792	0.07339561	29.77617	29.500553	1425	1.14440915e-07	338.22382	-0.042106234	-10.298859	10.1667385	-0.016163731	0.32	4.0	1124.2833983898163
57	36.701973	0.0	36.701973	36.701973	25.0	30.02126	0.09296546	30.093882	29.666609	1450	7.6293944e-08	225.69794	-0.07657052	-8.321426	10.298929	0.020894546	0.2	4.0	1143.8163394927979
58	31.76703	0.0	31.76703	31.76703	25.0	30.245535	0.22296561	30.424974	29.39173	1475	9.059906e-08	178.8205	-0.04823711	-7.129776	9.81701	0.0061014555	0.16	4.0	1163.3777751922607
59	47.381935	0.0	47.381935	47.381935	25.0	30.626726	0.13867237	30.732542	30.10398	1500	-9.536743e-09	435.12244	-0.05579943	-11.340454	10.573456	-0.009321842	0.04	4.0	1183.182070016861
60	42.959637	0.0	42.959637	42.959637	25.0	30.887749	0.13826373	31.049711	30.401178	1525	9.536743e-09	356.83942	-0.040075	-11.349152	9.318751	0.026516724	0.12	4.0	1202.8140988349915
61	43.553284	0.0	43.553284	43.553284	25.0	31.2879	0.15375139	31.395191	30.63406	1550	1.9073486e-08	360.5138	-0.056708828	-11.565674	9.919182	0.009425068	0.32	4.0	1222.5566983222961
62	41.871426	0.0	41.871426	41.871426	25.0	31.713633	0.019535102	31.742796	31.663355	1575	-9.536743e-08	325.70718	-0.04297296	-11.181305	9.249465	0.0116651915	0.2	4.0	1242.3007788658142
63	46.60188	0.0	46.60188	46.60188	25.0	32.076237	0.039554026	32.106514	31.941597	1600	-1.4781952e-07	380.82074	-0.06927665	-11.97583	10.435848	-0.00055709836	0.32	4.0	1261.9477605819702
