Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
32	1.4135036	0.0	1.4135036	1.4135036	25.0	800	0.8465132	0.42060035	2.496384	0.26539114	0.84595233	0.42395678	2.4872713	0.26037163	-1.0108405	0.11057487	657.3993246555328
33	6.487601	0.0	6.487601	6.487601	25.0	825	0.92653567	0.42464894	2.5752914	0.30628496	0.92334425	0.43022907	2.545713	0.20670643	-1.2333285	0.13160142	677.7796230316162
34	1.2974656	0.0	1.2974656	1.2974656	25.0	850	0.9518107	0.40653995	2.685809	0.44014817	0.9555012	0.40821072	2.6907008	0.37554413	-1.1367991	0.1097857	697.923327922821
35	17.37506	0.0	17.37506	17.37506	25.0	875	1.0497848	0.4294046	2.7328563	0.50757027	1.0498672	0.42793307	2.7514343	0.48573643	-1.8572502	0.12908341	719.762964963913
36	6.31096	0.0	6.31096	6.31096	25.0	900	1.1298155	0.4268156	2.8671134	0.49046195	1.12604	0.42931324	2.8821263	0.5112833	-1.4370828	0.14838243	740.4292981624603
37	2.3798318	0.0	2.3798318	2.3798318	25.0	925	1.1969748	0.4224988	2.9074275	0.60108894	1.1997545	0.4274224	2.9348536	0.6397529	-1.4074484	0.13702653	760.8661279678345
38	0.0	0.0	0.0	0.0	25.0	950	1.2877017	0.4377597	3.0962098	0.6956279	1.2889681	0.44387817	3.1135213	0.66401446	-1.3562806	0.14191113	781.3179898262024
39	2.3280888	0.0	2.3280888	2.3280888	25.0	975	1.362836	0.43427455	3.2080922	0.68943036	1.3619483	0.4350831	3.1971633	0.57819	-1.5100503	0.12668367	801.5873627662659
40	3.0102355	0.0	3.0102355	3.0102355	25.0	1000	1.455989	0.44789964	3.257355	0.8574132	1.4580848	0.4492276	3.2593722	0.8222584	-1.665306	0.14407943	822.01465010643
41	18.489674	0.0	18.489674	18.489674	25.0	1025	1.5329764	0.42890537	3.3515418	0.9835454	1.5296637	0.43665802	3.3508546	0.86597055	-2.0887256	0.152297	843.7996463775635
42	3.740495	0.0	3.740495	3.740495	25.0	1050	1.6261947	0.43049508	3.4213963	0.99800646	1.6293488	0.42928144	3.4043944	0.981795	-1.9365445	0.16121322	864.3751215934753
43	1.5714087	0.0	1.5714087	1.5714087	25.0	1075	1.7514238	0.44942677	3.6910641	1.1608384	1.746242	0.45107853	3.725172	1.1564507	-1.8718892	0.16001421	884.6501259803772
44	7.496161	0.0	7.496161	7.496161	25.0	1100	1.8509666	0.44123107	3.8206944	1.2744378	1.8549316	0.44905582	3.8131878	1.262663	-2.1025932	0.17219058	905.0626273155212
45	4.153249	0.0	4.153249	4.153249	25.0	1125	1.954328	0.4686292	3.8729672	1.3273008	1.9527586	0.47125643	3.8570511	1.2018305	-2.1871543	0.17752683	925.2677710056305
46	5.031593	0.0	5.031593	5.031593	25.0	1150	2.0597456	0.48624387	4.1164145	1.4231234	2.060502	0.49117014	4.12329	1.3646299	-2.2363088	0.17430276	945.8046004772186
47	7.2754664	0.0	7.2754664	7.2754664	25.0	1175	2.1287923	0.46602955	4.1363444	1.4782157	2.124247	0.46777475	4.1176324	1.5326357	-2.53179	0.19216666	966.9021983146667
48	8.147826	0.0	8.147826	8.147826	25.0	1200	2.2187357	0.47655347	4.3087554	1.5498946	2.2220511	0.4789555	4.318151	1.4685699	-2.6852403	0.20778935	987.6457943916321
49	2.1385634	0.0	2.1385634	2.1385634	25.0	1225	2.3079438	0.46776402	4.3114057	1.6284071	2.305985	0.46947572	4.2941065	1.6847103	-2.5362737	0.21776852	1008.4574494361877
50	0.33262065	0.0	0.33262065	0.33262065	25.0	1250	2.3803706	0.46083984	4.079023	1.6907771	2.383127	0.46477222	4.0810156	1.6660656	-2.5035493	0.21960472	1029.6977412700653
51	2.7985222	0.0	2.7985222	2.7985222	25.0	1275	2.4414992	0.48993787	4.4894114	1.7708236	2.4404323	0.49375963	4.454655	1.7257758	-2.7032406	0.18595153	1050.4355599880219
52	8.4687805	0.0	8.4687805	8.4687805	25.0	1300	2.51973	0.47309393	4.4956613	1.856668	2.5206242	0.47343752	4.487091	1.8558544	-2.991629	0.20817281	1071.3529636859894
53	6.41069	0.0	6.41069	6.41069	25.0	1325	2.6113465	0.47045323	4.655909	2.0090325	2.6110003	0.4741331	4.6505303	1.9886214	-3.0775387	0.21475875	1091.7294895648956
54	4.054684	0.0	4.054684	4.054684	25.0	1350	2.7050028	0.47662634	4.7321086	2.100507	2.7044964	0.47988302	4.737557	2.0159597	-3.0762358	0.22103447	1113.3674011230469
55	0.7412977	0.0	0.7412977	0.7412977	25.0	1375	2.7736425	0.4901169	4.950388	2.1424801	2.7732356	0.49084014	4.9791884	2.0831063	-2.9754038	0.22121881	1135.3073499202728
56	0.21082717	0.0	0.21082717	0.21082717	25.0	1400	2.8020434	0.46757206	4.4953837	2.0774643	2.8030062	0.4712941	4.538873	2.0368276	-2.985211	0.2326036	1155.983418226242
57	0.6883416	0.0	0.6883416	0.6883416	25.0	1425	2.9081323	0.478523	5.0176473	2.2323604	2.9056735	0.48195255	5.0022235	2.1630914	-3.0561643	0.22400162	1176.4084901809692
58	0.6340247	0.0	0.6340247	0.6340247	25.0	1450	2.9308465	0.4908502	5.1205735	2.1736398	2.933325	0.49082556	5.1286745	2.157124	-3.2155902	0.2168504	1197.0853865146637
59	0.9824148	0.0	0.9824148	0.9824148	25.0	1475	3.0038059	0.476735	5.041797	2.3077545	3.0036302	0.47952875	5.03935	2.2943685	-3.2479594	0.22643457	1217.7009191513062
60	1.6088709	0.0	1.6088709	1.6088709	25.0	1500	3.0329008	0.4784308	5.113684	2.340598	3.032506	0.4841149	5.1012506	2.2066283	-3.1844187	0.21637791	1238.2369451522827
61	0.43064812	0.0	0.43064812	0.43064812	25.0	1525	3.0574071	0.4665088	4.866282	2.391907	3.0556257	0.46740526	4.8583264	2.4053652	-3.2347498	0.22218136	1258.5499176979065
62	0.0	0.0	0.0	0.0	25.0	1550	3.0905347	0.48300028	4.9393477	2.3161838	3.0911741	0.48713925	4.9455233	2.33337	-3.2722487	0.23834237	1279.2478952407837
63	0.0	0.0	0.0	0.0	25.0	1575	3.0674136	0.49530402	4.952843	2.407344	3.065924	0.50155604	4.9736757	2.3477192	-3.2566957	0.22033261	1299.804854631424
64	1.304806	0.0	1.304806	1.304806	25.0	1600	3.1112688	0.49035427	5.3056927	2.4115028	3.1115563	0.49244866	5.327156	2.3361697	-3.256232	0.22318774	1320.4501688480377
