Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
28	8.200355	0.0	8.200355	8.200355	25.0	13.848529	0.70777816	16.054579	13.115547	725	6.67572e-08	10.424934	-0.031897526	-3.2937584	10.714709	0.011731033	0.04	4.0	541.2047154903412
29	3.352139	0.0	3.352139	3.352139	25.0	14.156974	0.56650716	15.742889	13.808186	750	-4.529953e-08	0.89433813	-0.04018468	-0.4359931	10.2724905	0.002591877	0.0	4.0	559.7158496379852
30	5.2537355	0.0	5.2537355	5.2537355	25.0	15.003801	0.65165156	16.59829	14.476838	775	7.152557e-09	1.4133759	-0.054664496	0.51290035	10.152673	-0.0020648956	0.04	4.0	578.2268106937408
31	6.3512897	0.0	6.3512897	6.3512897	25.0	15.318254	0.70901704	16.9514	14.736797	800	7.152558e-08	3.581104	-0.05449752	-0.9018276	9.60212	0.011349602	0.0	4.0	596.61865067482
32	3.165493	0.0	3.165493	3.165493	25.0	15.296186	0.47439742	16.426268	15.0339365	825	-1.37090685e-08	0.6026901	-0.02712762	0.0870229	10.557853	0.030703811	0.0	3.0	615.1727304458618
33	1.4077985	0.0	1.4077985	1.4077985	25.0	15.451014	0.2877982	16.283672	15.317464	850	-1.0967255e-07	1.5199418	-0.02131689	-0.02257657	10.00533	0.019107437	0.0	4.0	633.6375563144684
34	6.742818	0.0	6.742818	6.742818	25.0	15.891073	0.6263814	16.908575	15.308117	875	-1.4305114e-08	1.697307	-0.039340276	-0.209144	9.652821	-0.014674301	0.0	4.0	652.1807010173798
35	1.0084426	0.0	1.0084426	1.0084426	25.0	15.223708	0.24161482	16.05921	15.126823	900	3.4332277e-07	3.318563	-0.01633111	-1.1095529	9.678293	0.0034406853	0.0	4.0	670.5236241817474
36	4.370212	0.0	4.370212	4.370212	25.0	15.184607	0.52203226	16.382917	14.742328	925	2.6822091e-09	0.66589075	-0.040130075	-0.12552857	9.980785	0.021427784	0.0	4.0	689.4927558898926
37	2.801079	0.0	2.801079	2.801079	25.0	14.610691	0.43504137	15.816963	14.356243	950	4.321337e-08	0.25134215	-0.024301566	-0.05434169	9.881204	6.893158e-05	0.0	4.0	708.249085187912
38	3.6913884	0.0	3.6913884	3.6913884	25.0	14.446478	0.5269934	15.7710285	14.093889	975	-2.1457673e-08	0.45043308	-0.020984843	-0.17310804	9.058991	0.004191265	0.0	4.0	726.7190017700195
39	2.053424	0.0	2.053424	2.053424	25.0	14.077917	0.4278616	15.483286	13.867683	1000	-7.6293944e-08	0.7606417	-0.032697625	-0.34812862	9.096511	0.013790226	0.0	4.0	745.3314535617828
40	7.8684354	0.0	7.8684354	7.8684354	25.0	14.232666	0.70405084	15.42288	13.591296	1025	1.1920929e-08	2.749083	-0.0313548	0.019164324	10.143284	0.0022085952	0.08	4.0	763.9032604694366
41	8.102015	0.0	8.102015	8.102015	25.0	14.23856	0.84725994	15.9432955	13.547134	1050	3.33786e-08	2.785783	-0.050041653	-0.43208122	9.61922	0.0016695404	0.12	4.0	782.7173082828522
42	1.2522842	0.0	1.2522842	1.2522842	25.0	13.882896	0.2609025	14.853532	13.770508	1075	-9.536743e-09	0.7844986	-0.008929945	0.1253863	9.159308	-0.007248516	0.0	4.0	801.1651360988617
43	5.9270964	0.0	5.9270964	5.9270964	25.0	14.338234	0.55121326	15.631554	13.863285	1100	2.8610229e-08	0.3662389	-0.05202514	-0.021106988	10.919067	0.01674818	0.04	4.0	819.8961641788483
